
Odczyt danych o terrainie z pliku stozki_2.map

  size sektora = 480.000000
  czas odnowy przedmiotu = 120.000000
  if_toroidal_world = 0
  border_x = -1.000000
  border_z = -1.000000
  liczba sekt. = 936
    mapa w=0, k=0, l.oczek = 16
    mapa w=-17, k=36, l.oczek = 16
    mapa w=-12, k=39, l.oczek = 16
    mapa w=-14, k=39, l.oczek = 16
    mapa w=-32, k=25, l.oczek = 16
    mapa w=-9, k=34, l.oczek = 16
    mapa w=-10, k=22, l.oczek = 16
    mapa w=-17, k=19, l.oczek = 16
    mapa w=-12, k=22, l.oczek = 16
    mapa w=-38, k=17, l.oczek = 16
    mapa w=6, k=18, l.oczek = 16
    mapa w=-36, k=19, l.oczek = 16
    mapa w=7, k=12, l.oczek = 16
    mapa w=-23, k=16, l.oczek = 16
    mapa w=-36, k=17, l.oczek = 16
    mapa w=-17, k=40, l.oczek = 16
    mapa w=-25, k=24, l.oczek = 16
    mapa w=-33, k=28, l.oczek = 16
    mapa w=-12, k=35, l.oczek = 16
    mapa w=-39, k=12, l.oczek = 16
    mapa w=-38, k=21, l.oczek = 16
    mapa w=-22, k=18, l.oczek = 16
    mapa w=9, k=16, l.oczek = 16
    mapa w=-33, k=13, l.oczek = 16
    mapa w=-35, k=19, l.oczek = 16
    mapa w=-16, k=13, l.oczek = 16
    mapa w=-19, k=12, l.oczek = 16
    mapa w=-35, k=16, l.oczek = 16
    mapa w=-11, k=22, l.oczek = 16
    mapa w=-40, k=17, l.oczek = 16
    mapa w=-33, k=20, l.oczek = 16
    mapa w=-32, k=23, l.oczek = 16
    mapa w=5, k=9, l.oczek = 16
    mapa w=-22, k=12, l.oczek = 16
    mapa w=-12, k=32, l.oczek = 16
    mapa w=3, k=13, l.oczek = 16
    mapa w=-39, k=17, l.oczek = 16
    mapa w=-8, k=39, l.oczek = 16
    mapa w=-39, k=14, l.oczek = 16
    mapa w=-22, k=10, l.oczek = 16
    mapa w=-25, k=16, l.oczek = 16
    mapa w=-28, k=30, l.oczek = 16
    mapa w=-34, k=25, l.oczek = 16
    mapa w=-19, k=17, l.oczek = 16
    mapa w=-31, k=28, l.oczek = 16
    mapa w=-36, k=18, l.oczek = 16
    mapa w=-8, k=19, l.oczek = 16
    mapa w=-16, k=21, l.oczek = 16
    mapa w=-11, k=15, l.oczek = 16
    mapa w=-14, k=20, l.oczek = 16
    mapa w=-15, k=34, l.oczek = 16
    mapa w=-15, k=11, l.oczek = 16
    mapa w=-17, k=35, l.oczek = 16
    mapa w=-22, k=11, l.oczek = 16
    mapa w=-10, k=41, l.oczek = 16
    mapa w=-11, k=19, l.oczek = 16
    mapa w=-19, k=11, l.oczek = 16
    mapa w=4, k=11, l.oczek = 16
    mapa w=-19, k=8, l.oczek = 16
    mapa w=-6, k=34, l.oczek = 16
    mapa w=-34, k=15, l.oczek = 16
    mapa w=-34, k=19, l.oczek = 16
    mapa w=-20, k=14, l.oczek = 16
    mapa w=-25, k=22, l.oczek = 16
    mapa w=-18, k=20, l.oczek = 16
    mapa w=-9, k=19, l.oczek = 16
    mapa w=-10, k=19, l.oczek = 16
    mapa w=8, k=6, l.oczek = 16
    mapa w=6, k=8, l.oczek = 16
    mapa w=-6, k=39, l.oczek = 16
    mapa w=6, k=14, l.oczek = 16
    mapa w=7, k=7, l.oczek = 16
    mapa w=8, k=11, l.oczek = 16
    mapa w=-28, k=24, l.oczek = 16
    mapa w=-32, k=20, l.oczek = 16
    mapa w=-14, k=17, l.oczek = 16
    mapa w=-35, k=17, l.oczek = 16
    mapa w=-31, k=23, l.oczek = 16
    mapa w=-35, k=18, l.oczek = 16
    mapa w=-32, k=12, l.oczek = 16
    mapa w=-7, k=39, l.oczek = 16
    mapa w=-17, k=41, l.oczek = 16
    mapa w=-19, k=9, l.oczek = 16
    mapa w=-31, k=25, l.oczek = 16
    mapa w=-41, k=17, l.oczek = 16
    mapa w=-10, k=35, l.oczek = 16
    mapa w=-27, k=26, l.oczek = 16
    mapa w=-19, k=10, l.oczek = 16
    mapa w=-35, k=12, l.oczek = 16
    mapa w=-11, k=40, l.oczek = 16
    mapa w=-37, k=18, l.oczek = 16
    mapa w=-38, k=19, l.oczek = 16
    mapa w=-19, k=23, l.oczek = 16
    mapa w=-37, k=19, l.oczek = 16
    mapa w=-34, k=28, l.oczek = 16
    mapa w=-17, k=14, l.oczek = 16
    mapa w=-7, k=41, l.oczek = 16
    mapa w=-35, k=23, l.oczek = 16
    mapa w=-30, k=28, l.oczek = 16
    mapa w=-15, k=25, l.oczek = 16
    mapa w=-27, k=28, l.oczek = 16
    mapa w=-21, k=16, l.oczek = 16
    mapa w=-10, k=25, l.oczek = 16
    mapa w=-9, k=36, l.oczek = 16
    mapa w=-5, k=42, l.oczek = 16
    mapa w=-14, k=38, l.oczek = 16
    mapa w=-26, k=21, l.oczek = 16
    mapa w=-13, k=43, l.oczek = 16
    mapa w=-38, k=20, l.oczek = 16
    mapa w=-7, k=37, l.oczek = 16
    mapa w=3, k=14, l.oczek = 16
    mapa w=-13, k=36, l.oczek = 16
    mapa w=-39, k=21, l.oczek = 16
    mapa w=-39, k=18, l.oczek = 16
    mapa w=2, k=18, l.oczek = 16
    mapa w=-38, k=18, l.oczek = 16
    mapa w=-27, k=11, l.oczek = 16
    mapa w=-12, k=16, l.oczek = 16
    mapa w=-14, k=33, l.oczek = 16
    mapa w=-28, k=22, l.oczek = 16
    mapa w=-8, k=23, l.oczek = 16
    mapa w=-16, k=34, l.oczek = 16
    mapa w=-30, k=25, l.oczek = 16
    mapa w=-38, k=14, l.oczek = 16
    mapa w=-15, k=23, l.oczek = 16
    mapa w=-36, k=23, l.oczek = 16
    mapa w=-25, k=10, l.oczek = 16
    mapa w=-20, k=18, l.oczek = 16
    mapa w=-23, k=15, l.oczek = 16
    mapa w=-26, k=18, l.oczek = 16
    mapa w=-25, k=15, l.oczek = 16
    mapa w=-15, k=10, l.oczek = 16
    mapa w=-23, k=8, l.oczek = 16
    mapa w=-26, k=8, l.oczek = 16
    mapa w=4, k=19, l.oczek = 16
    mapa w=5, k=10, l.oczek = 16
    mapa w=11, k=18, l.oczek = 16
    mapa w=-16, k=12, l.oczek = 16
    mapa w=-9, k=41, l.oczek = 16
    mapa w=-17, k=34, l.oczek = 16
    mapa w=10, k=15, l.oczek = 16
    mapa w=4, k=12, l.oczek = 16
    mapa w=-8, k=41, l.oczek = 16
    mapa w=-23, k=19, l.oczek = 16
    mapa w=-27, k=20, l.oczek = 16
    mapa w=11, k=16, l.oczek = 16
    mapa w=-13, k=42, l.oczek = 16
    mapa w=-29, k=31, l.oczek = 16
    mapa w=-32, k=29, l.oczek = 16
    mapa w=-28, k=27, l.oczek = 16
    mapa w=-28, k=29, l.oczek = 16
    mapa w=-15, k=18, l.oczek = 16
    mapa w=-7, k=20, l.oczek = 16
    mapa w=-19, k=21, l.oczek = 16
    mapa w=-27, k=16, l.oczek = 16
    mapa w=-7, k=43, l.oczek = 16
    mapa w=-39, k=19, l.oczek = 16
    mapa w=-13, k=20, l.oczek = 16
    mapa w=-36, k=27, l.oczek = 16
    mapa w=-21, k=19, l.oczek = 16
    mapa w=-35, k=25, l.oczek = 16
    mapa w=-18, k=15, l.oczek = 16
    mapa w=-12, k=38, l.oczek = 16
    mapa w=-34, k=17, l.oczek = 16
    mapa w=-36, k=13, l.oczek = 16
    mapa w=-39, k=20, l.oczek = 16
    mapa w=2, k=19, l.oczek = 16
    mapa w=6, k=9, l.oczek = 16
    mapa w=-17, k=42, l.oczek = 16
    mapa w=-33, k=14, l.oczek = 16
    mapa w=-7, k=24, l.oczek = 16
    mapa w=-28, k=19, l.oczek = 16
    mapa w=-33, k=19, l.oczek = 16
    mapa w=-7, k=35, l.oczek = 16
    mapa w=-40, k=18, l.oczek = 16
    mapa w=-17, k=22, l.oczek = 16
    mapa w=-11, k=25, l.oczek = 16
    mapa w=-14, k=25, l.oczek = 16
    mapa w=7, k=13, l.oczek = 16
    mapa w=8, k=7, l.oczek = 16
    mapa w=-25, k=14, l.oczek = 16
    mapa w=-30, k=23, l.oczek = 16
    mapa w=-6, k=37, l.oczek = 16
    mapa w=-20, k=22, l.oczek = 16
    mapa w=-34, k=16, l.oczek = 16
    mapa w=-34, k=18, l.oczek = 16
    mapa w=-17, k=24, l.oczek = 16
    mapa w=-20, k=13, l.oczek = 16
    mapa w=-11, k=16, l.oczek = 16
    mapa w=-29, k=28, l.oczek = 16
    mapa w=-31, k=29, l.oczek = 16
    mapa w=-25, k=11, l.oczek = 16
    mapa w=-15, k=21, l.oczek = 16
    mapa w=-29, k=30, l.oczek = 16
    mapa w=11, k=14, l.oczek = 16
    mapa w=-35, k=28, l.oczek = 16
    mapa w=-13, k=32, l.oczek = 16
    mapa w=-25, k=19, l.oczek = 16
    mapa w=-24, k=17, l.oczek = 16
    mapa w=-15, k=33, l.oczek = 16
    mapa w=-9, k=23, l.oczek = 16
    mapa w=-22, k=17, l.oczek = 16
    mapa w=6, k=19, l.oczek = 16
    mapa w=-11, k=36, l.oczek = 16
    mapa w=-14, k=23, l.oczek = 16
    mapa w=12, k=15, l.oczek = 16
    mapa w=-13, k=17, l.oczek = 16
    mapa w=-14, k=37, l.oczek = 16
    mapa w=-12, k=25, l.oczek = 16
    mapa w=5, k=17, l.oczek = 16
    mapa w=-27, k=15, l.oczek = 16
    mapa w=-16, k=19, l.oczek = 16
    mapa w=-27, k=12, l.oczek = 16
    mapa w=-16, k=11, l.oczek = 16
    mapa w=-13, k=25, l.oczek = 16
    mapa w=-5, k=37, l.oczek = 16
    mapa w=-9, k=38, l.oczek = 16
    mapa w=-12, k=20, l.oczek = 16
    mapa w=-33, k=29, l.oczek = 16
    mapa w=-5, k=34, l.oczek = 16
    mapa w=5, k=11, l.oczek = 16
    mapa w=-21, k=15, l.oczek = 16
    mapa w=-23, k=9, l.oczek = 16
    mapa w=-13, k=41, l.oczek = 16
    mapa w=-33, k=18, l.oczek = 16
    mapa w=-38, k=12, l.oczek = 16
    mapa w=-8, k=20, l.oczek = 16
    mapa w=4, k=13, l.oczek = 16
    mapa w=-27, k=13, l.oczek = 16
    mapa w=-20, k=24, l.oczek = 16
    mapa w=6, k=15, l.oczek = 16
    mapa w=-22, k=20, l.oczek = 16
    mapa w=-17, k=13, l.oczek = 16
    mapa w=-32, k=19, l.oczek = 16
    mapa w=-25, k=12, l.oczek = 16
    mapa w=12, k=17, l.oczek = 16
    mapa w=-32, k=30, l.oczek = 16
    mapa w=-25, k=13, l.oczek = 16
    mapa w=-32, k=13, l.oczek = 16
    mapa w=8, k=12, l.oczek = 16
    mapa w=-24, k=20, l.oczek = 16
    mapa w=-30, k=29, l.oczek = 16
    mapa w=-30, k=31, l.oczek = 16
    mapa w=-16, k=33, l.oczek = 16
    mapa w=-29, k=25, l.oczek = 16
    mapa w=-12, k=34, l.oczek = 16
    mapa w=-10, k=16, l.oczek = 16
    mapa w=-23, k=14, l.oczek = 16
    mapa w=-15, k=41, l.oczek = 16
    mapa w=-15, k=40, l.oczek = 16
    mapa w=-17, k=43, l.oczek = 16
    mapa w=-19, k=16, l.oczek = 16
    mapa w=-40, k=21, l.oczek = 16
    mapa w=-20, k=8, l.oczek = 16
    mapa w=-40, k=19, l.oczek = 16
    mapa w=-20, k=12, l.oczek = 16
    mapa w=-21, k=23, l.oczek = 16
    mapa w=-6, k=32, l.oczek = 16
    mapa w=-27, k=14, l.oczek = 16
    mapa w=-5, k=40, l.oczek = 16
    mapa w=-17, k=33, l.oczek = 16
    mapa w=-33, k=15, l.oczek = 16
    mapa w=-36, k=25, l.oczek = 16
    mapa w=-33, k=16, l.oczek = 16
    mapa w=-10, k=37, l.oczek = 16
    mapa w=-33, k=17, l.oczek = 16
    mapa w=-41, k=13, l.oczek = 16
    mapa w=-11, k=33, l.oczek = 16
    mapa w=-27, k=24, l.oczek = 16
    mapa w=-12, k=43, l.oczek = 16
    mapa w=-11, k=20, l.oczek = 16
    mapa w=-37, k=14, l.oczek = 16
    mapa w=-16, k=10, l.oczek = 16
    mapa w=-10, k=40, l.oczek = 16
    mapa w=-9, k=20, l.oczek = 16
    mapa w=-34, k=22, l.oczek = 16
    mapa w=-15, k=42, l.oczek = 16
    mapa w=-41, k=18, l.oczek = 16
    mapa w=-33, k=30, l.oczek = 16
    mapa w=-10, k=20, l.oczek = 16
    mapa w=-13, k=23, l.oczek = 16
    mapa w=-7, k=33, l.oczek = 16
    mapa w=-26, k=17, l.oczek = 16
    mapa w=6, k=10, l.oczek = 16
    mapa w=-23, k=21, l.oczek = 16
    mapa w=-10, k=23, l.oczek = 16
    mapa w=-14, k=18, l.oczek = 16
    mapa w=-40, k=15, l.oczek = 16
    mapa w=-13, k=35, l.oczek = 16
    mapa w=-26, k=9, l.oczek = 16
    mapa w=-11, k=39, l.oczek = 16
    mapa w=-9, k=16, l.oczek = 16
    mapa w=-7, k=16, l.oczek = 16
    mapa w=9, k=17, l.oczek = 16
    mapa w=-27, k=22, l.oczek = 16
    mapa w=-13, k=40, l.oczek = 16
    mapa w=-35, k=13, l.oczek = 16
    mapa w=-23, k=13, l.oczek = 16
    mapa w=-31, k=30, l.oczek = 16
    mapa w=-23, k=10, l.oczek = 16
    mapa w=-34, k=29, l.oczek = 16
    mapa w=-12, k=17, l.oczek = 16
    mapa w=-32, k=31, l.oczek = 16
    mapa w=-20, k=10, l.oczek = 16
    mapa w=-8, k=43, l.oczek = 16
    mapa w=-32, k=26, l.oczek = 16
    mapa w=-10, k=32, l.oczek = 16
Znaleziono w pliku stozki_2.map przedmioty w liczbie 968
  przedm.0, type = 1, value = 10.000000
wstawiam przedmiot 80330792: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.1, type = 1, value = 10.000000
wstawiam przedmiot 80330888: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.2, type = 1, value = 10.000000
wstawiam przedmiot 80330984: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.3, type = 1, value = 10.000000
wstawiam przedmiot 80331080: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.4, type = 1, value = 10.000000
wstawiam przedmiot 80331176: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.5, type = 1, value = 10.000000
wstawiam przedmiot 80331272: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.6, type = 1, value = 10.000000
wstawiam przedmiot 80331368: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.7, type = 1, value = 10.000000
wstawiam przedmiot 80331464: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.8, type = 0, value = 100.000000
wstawiam przedmiot 80331560: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 0
  przedm.9, type = 0, value = 100.000000
wstawiam przedmiot 80331656: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 0
  przedm.10, type = 0, value = 100.000000
wstawiam przedmiot 80331752: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 0
  przedm.11, type = 0, value = 100.000000
wstawiam przedmiot 80331848: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 0
  przedm.12, type = 2, value = 20.000000
wstawiam przedmiot 80331944: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.13, type = 2, value = 20.000000
wstawiam przedmiot 80332040: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.14, type = 2, value = 20.000000
wstawiam przedmiot 80332136: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.15, type = 2, value = 20.000000
wstawiam przedmiot 80332232: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.16, type = 2, value = 20.000000
wstawiam przedmiot 80332328: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.17, type = 2, value = 20.000000
wstawiam przedmiot 80332424: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.18, type = 2, value = 20.000000
wstawiam przedmiot 80332520: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.19, type = 2, value = 20.000000
wstawiam przedmiot 80332616: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.20, type = 2, value = 20.000000
wstawiam przedmiot 80332712: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.21, type = 2, value = 20.000000
wstawiam przedmiot 80332808: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.22, type = 2, value = 20.000000
wstawiam przedmiot 80332904: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.23, type = 2, value = 20.000000
wstawiam przedmiot 80333000: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.24, type = 2, value = 20.000000
wstawiam przedmiot 80333096: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.25, type = 2, value = 20.000000
wstawiam przedmiot 80333192: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.26, type = 2, value = 20.000000
wstawiam przedmiot 80333288: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.27, type = 2, value = 20.000000
wstawiam przedmiot 80333384: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.28, type = 2, value = 20.000000
wstawiam przedmiot 80333480: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.29, type = 2, value = 20.000000
wstawiam przedmiot 80333576: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.30, type = 2, value = 20.000000
wstawiam przedmiot 80333672: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.31, type = 2, value = 20.000000
wstawiam przedmiot 80333768: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.32, type = 2, value = 20.000000
wstawiam przedmiot 80333864: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
wstawiam przedmiot 80333864: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.33, type = 2, value = 20.000000
wstawiam przedmiot 80333960: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.34, type = 2, value = 20.000000
wstawiam przedmiot 80334056: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.35, type = 2, value = 20.000000
wstawiam przedmiot 80334152: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.36, type = 2, value = 20.000000
wstawiam przedmiot 80334248: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.37, type = 2, value = 20.000000
wstawiam przedmiot 80334344: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.38, type = 2, value = 20.000000
wstawiam przedmiot 80334440: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.39, type = 2, value = 20.000000
wstawiam przedmiot 80334536: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.40, type = 2, value = 20.000000
wstawiam przedmiot 80334632: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.41, type = 2, value = 20.000000
wstawiam przedmiot 80334728: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.42, type = 2, value = 20.000000
wstawiam przedmiot 80334824: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.43, type = 2, value = 20.000000
wstawiam przedmiot 80334920: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.44, type = 2, value = 20.000000
wstawiam przedmiot 80335016: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.45, type = 2, value = 20.000000
wstawiam przedmiot 80335112: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.46, type = 2, value = 20.000000
wstawiam przedmiot 80335208: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.47, type = 2, value = 20.000000
wstawiam przedmiot 80335304: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.48, type = 2, value = 20.000000
wstawiam przedmiot 80335400: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.49, type = 2, value = 20.000000
wstawiam przedmiot 80335496: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.50, type = 0, value = 100.000000
wstawiam przedmiot 80335592: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 1
  przedm.51, type = 0, value = 100.000000
wstawiam przedmiot 80335688: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 1
  przedm.52, type = 0, value = 100.000000
wstawiam przedmiot 80335784: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 1
  przedm.53, type = 0, value = 100.000000
wstawiam przedmiot 80335880: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 1
  przedm.54, type = 0, value = 200.000000
wstawiam przedmiot 80335976: moneta o wartosci 200.000000 i srednicy 1.319508 w sektor w = 0, k = 1
  przedm.55, type = 0, value = 200.000000
wstawiam przedmiot 80336072: moneta o wartosci 200.000000 i srednicy 1.319508 w sektor w = 0, k = 1
  przedm.56, type = 0, value = 200.000000
wstawiam przedmiot 80336168: moneta o wartosci 200.000000 i srednicy 1.319508 w sektor w = 0, k = 1
  przedm.57, type = 0, value = 200.000000
wstawiam przedmiot 80336264: moneta o wartosci 200.000000 i srednicy 1.319508 w sektor w = 0, k = 1
  przedm.58, type = 0, value = 200.000000
wstawiam przedmiot 80336360: moneta o wartosci 200.000000 i srednicy 1.319508 w sektor w = 0, k = 1
  przedm.59, type = 0, value = 100.000000
wstawiam przedmiot 80336456: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 1
  przedm.60, type = 1, value = 10.000000
wstawiam przedmiot 80336552: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.61, type = 1, value = 10.000000
wstawiam przedmiot 80336648: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.62, type = 1, value = 10.000000
wstawiam przedmiot 80336744: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.63, type = 1, value = 10.000000
wstawiam przedmiot 80336840: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.64, type = 1, value = 10.000000
wstawiam przedmiot 80336936: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.65, type = 1, value = 10.000000
wstawiam przedmiot 80337032: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.66, type = 1, value = 10.000000
wstawiam przedmiot 80337128: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.67, type = 1, value = 10.000000
wstawiam przedmiot 80337224: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 1, k = -1
  przedm.68, type = 1, value = 10.000000
wstawiam przedmiot 80337320: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.69, type = 1, value = 10.000000
wstawiam przedmiot 80337416: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.70, type = 1, value = 10.000000
wstawiam przedmiot 80337512: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.71, type = 1, value = 10.000000
wstawiam przedmiot 80337608: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.72, type = 1, value = 10.000000
wstawiam przedmiot 80337704: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.73, type = 1, value = 10.000000
wstawiam przedmiot 80337800: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.74, type = 1, value = 10.000000
wstawiam przedmiot 80337896: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.75, type = 1, value = 10.000000
wstawiam przedmiot 80337992: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.76, type = 1, value = 10.000000
wstawiam przedmiot 80338088: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.77, type = 1, value = 10.000000
wstawiam przedmiot 80338184: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.78, type = 1, value = 10.000000
wstawiam przedmiot 80338280: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.79, type = 1, value = 10.000000
wstawiam przedmiot 80338376: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.80, type = 1, value = 10.000000
wstawiam przedmiot 80338472: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.81, type = 1, value = 10.000000
wstawiam przedmiot 80338568: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.82, type = 1, value = 10.000000
wstawiam przedmiot 80338664: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.83, type = 1, value = 10.000000
wstawiam przedmiot 80338760: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.84, type = 1, value = 10.000000
wstawiam przedmiot 80338856: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 2
  przedm.85, type = 1, value = 10.000000
wstawiam przedmiot 80338952: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.86, type = 1, value = 10.000000
wstawiam przedmiot 80339048: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.87, type = 1, value = 10.000000
wstawiam przedmiot 80339144: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.88, type = 1, value = 10.000000
wstawiam przedmiot 80339240: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 3
wstawiam przedmiot 80339240: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 4
  przedm.89, type = 1, value = 10.000000
wstawiam przedmiot 80339336: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 3
  przedm.90, type = 1, value = 10.000000
wstawiam przedmiot 80339432: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 3
  przedm.91, type = 1, value = 10.000000
wstawiam przedmiot 80339528: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 4
  przedm.92, type = 1, value = 10.000000
wstawiam przedmiot 80339624: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 4
  przedm.93, type = 1, value = 10.000000
wstawiam przedmiot 80339720: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 4
  przedm.94, type = 1, value = 10.000000
